{'algo': 'baseline', 'seed': (51668, 64395), 'lr': 0.003, 'accuracy': 0.8121614151464898, 'lb': 1.0744329633541654, 'pval': 1.0, 'bal_acc': 0.827934268315393, 'gap_rms_gen': 0.14906964334473088, 'mean_gap_gen': 0.13726107762425532, 'max_gap_gen': 0.19540877866525455, 'average_odds_difference_gen': -0.13726107762425532, 'equal_opportunity_difference_gen': -0.07911337658325612, 'statistical_parity_difference_gen': -0.3059250638231471, 'gap_rms_race': 0.03423228785787272, 'mean_gap_race': 0.029331663299812863, 'max_gap_race': 0.04698111258444129, 'average_odds_difference_race': -0.01764944928462843, 'equal_opportunity_difference_race': 0.011682214015184433, 'statistical_parity_difference_race': -0.10849307977394829}
{'algo': 'baseline', 'seed': (51668, 64395), 'lr': 0.0004, 'accuracy': 0.8121614151464898, 'lb': 1.06325767611861, 'pval': 1.0, 'bal_acc': 0.827934268315393, 'gap_rms_gen': 0.14906964334473088, 'mean_gap_gen': 0.13726107762425532, 'max_gap_gen': 0.19540877866525455, 'average_odds_difference_gen': -0.13726107762425532, 'equal_opportunity_difference_gen': -0.07911337658325612, 'statistical_parity_difference_gen': -0.3059250638231471, 'gap_rms_race': 0.03423228785787272, 'mean_gap_race': 0.029331663299812863, 'max_gap_race': 0.04698111258444129, 'average_odds_difference_race': -0.01764944928462843, 'equal_opportunity_difference_race': 0.011682214015184433, 'statistical_parity_difference_race': -0.10849307977394829}
{'algo': 'sensr', 'seed': (5192, 98047), 'lr': 0.0001, 'accuracy': 0.7907131011608624, 'lb': 1.0142127901563684, 'pval': 1.0, 'bal_acc': 0.7829291128314477, 'gap_rms_gen': 0.11177657010833181, 'mean_gap_gen': 0.11177572899343755, 'max_gap_gen': 0.11220935690815204, 'average_odds_difference_gen': -0.11177572899343755, 'equal_opportunity_difference_gen': -0.11220935690815204, 'statistical_parity_difference_gen': -0.21914944915044784, 'gap_rms_race': 0.046234557624901126, 'mean_gap_race': 0.04512246199723048, 'max_gap_race': 0.0552020325277042, 'average_odds_difference_race': -0.04512246199723048, 'equal_opportunity_difference_race': -0.035042891466756765, 'statistical_parity_difference_race': -0.10515743666037031}
{'algo': 'sensr', 'seed': (5192, 98047), 'lr': 0.0004, 'accuracy': 0.7907131011608624, 'lb': 1.0520014800415187, 'pval': 1.0, 'bal_acc': 0.7829291128314477, 'gap_rms_gen': 0.11177657010833181, 'mean_gap_gen': 0.11177572899343755, 'max_gap_gen': 0.11220935690815204, 'average_odds_difference_gen': -0.11177572899343755, 'equal_opportunity_difference_gen': -0.11220935690815204, 'statistical_parity_difference_gen': -0.21914944915044784, 'gap_rms_race': 0.046234557624901126, 'mean_gap_race': 0.04512246199723048, 'max_gap_race': 0.0552020325277042, 'average_odds_difference_race': -0.04512246199723048, 'equal_opportunity_difference_race': -0.035042891466756765, 'statistical_parity_difference_race': -0.10515743666037031}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.0001, 'accuracy': 0.8093974571586512, 'lb': 1.0387085650827896, 'pval': 1.0, 'bal_acc': 0.8249522731479801, 'gap_rms_gen': 0.14111152818011044, 'mean_gap_gen': 0.11614291135941326, 'max_gap_gen': 0.19628832623940234, 'average_odds_difference_gen': -0.11614291135941326, 'equal_opportunity_difference_gen': -0.035997496479424185, 'statistical_parity_difference_gen': -0.29378878165455613, 'gap_rms_race': 0.05794166237718362, 'mean_gap_race': 0.053726965953845934, 'max_gap_race': 0.07542142073901664, 'average_odds_difference_race': -0.053726965953845934, 'equal_opportunity_difference_race': -0.032032511168675226, 'statistical_parity_difference_race': -0.12916158222311375}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.0004, 'accuracy': 0.8093974571586512, 'lb': 1.0761493615720934, 'pval': 1.0, 'bal_acc': 0.8249522731479801, 'gap_rms_gen': 0.14111152818011044, 'mean_gap_gen': 0.11614291135941326, 'max_gap_gen': 0.19628832623940234, 'average_odds_difference_gen': -0.11614291135941326, 'equal_opportunity_difference_gen': -0.035997496479424185, 'statistical_parity_difference_gen': -0.29378878165455613, 'gap_rms_race': 0.05794166237718362, 'mean_gap_race': 0.053726965953845934, 'max_gap_race': 0.07542142073901664, 'average_odds_difference_race': -0.053726965953845934, 'equal_opportunity_difference_race': -0.032032511168675226, 'statistical_parity_difference_race': -0.12916158222311375}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.01, 'accuracy': 0.8061912658927585, 'lb': 6.505159065714295, 'pval': 0.0, 'bal_acc': 0.8183995989310571, 'gap_rms_gen': 0.16600715196438415, 'mean_gap_gen': 0.15431178195034728, 'max_gap_gen': 0.21551838661548625, 'average_odds_difference_gen': -0.15431178195034728, 'equal_opportunity_difference_gen': -0.09310517728520828, 'statistical_parity_difference_gen': -0.3162617181791622, 'gap_rms_race': 0.06634413208425606, 'mean_gap_race': 0.05882989807297022, 'max_gap_race': 0.08949888818900029, 'average_odds_difference_race': -0.05882989807297022, 'equal_opportunity_difference_race': -0.02816090795694015, 'statistical_parity_difference_race': -0.13590200384365067}
{'algo': 'baseline', 'seed': (7751, 43757), 'lr': 0.003, 'accuracy': 0.8092868988391376, 'lb': 1.117853005556297, 'pval': 1.0, 'bal_acc': 0.8290988346325585, 'gap_rms_gen': 0.15871337527488313, 'mean_gap_gen': 0.14789220680747375, 'max_gap_gen': 0.2054928201441501, 'average_odds_difference_gen': -0.14789220680747375, 'equal_opportunity_difference_gen': -0.0902915934707974, 'statistical_parity_difference_gen': -0.31013673599758973, 'gap_rms_race': 0.06689199627306895, 'mean_gap_race': 0.05532892103815658, 'max_gap_race': 0.09292213401802443, 'average_odds_difference_race': -0.05532892103815658, 'equal_opportunity_difference_race': -0.017735708058288724, 'statistical_parity_difference_race': -0.14353574165833471}
{'algo': 'baseline', 'seed': (7751, 43757), 'lr': 0.0004, 'accuracy': 0.8092868988391376, 'lb': 1.0823232240227618, 'pval': 1.0, 'bal_acc': 0.8290988346325585, 'gap_rms_gen': 0.15871337527488313, 'mean_gap_gen': 0.14789220680747375, 'max_gap_gen': 0.2054928201441501, 'average_odds_difference_gen': -0.14789220680747375, 'equal_opportunity_difference_gen': -0.0902915934707974, 'statistical_parity_difference_gen': -0.31013673599758973, 'gap_rms_race': 0.06689199627306895, 'mean_gap_race': 0.05532892103815658, 'max_gap_race': 0.09292213401802443, 'average_odds_difference_race': -0.05532892103815658, 'equal_opportunity_difference_race': -0.017735708058288724, 'statistical_parity_difference_race': -0.14353574165833471}
{'algo': 'baseline', 'seed': (20609, 49100), 'lr': 0.0001, 'accuracy': 0.8046434494195688, 'lb': 1.0414455541306846, 'pval': 1.0, 'bal_acc': 0.8218871227974551, 'gap_rms_gen': 0.17536242260313176, 'mean_gap_gen': 0.1699609999258188, 'max_gap_gen': 0.21314939843114886, 'average_odds_difference_gen': -0.1699609999258188, 'equal_opportunity_difference_gen': -0.12677260142048874, 'statistical_parity_difference_gen': -0.3126449682005238, 'gap_rms_race': 0.06527450666190815, 'mean_gap_race': 0.05781261950566312, 'max_gap_race': 0.08811876155391649, 'average_odds_difference_race': -0.05781261950566312, 'equal_opportunity_difference_race': -0.02750647745740975, 'statistical_parity_difference_race': -0.14582859883428356}
{'algo': 'baseline', 'seed': (7751, 43757), 'lr': 0.01, 'accuracy': 0.8092868988391376, 'lb': 5.175841807235265, 'pval': 0.0, 'bal_acc': 0.8290988346325585, 'gap_rms_gen': 0.15871337527488313, 'mean_gap_gen': 0.14789220680747375, 'max_gap_gen': 0.2054928201441501, 'average_odds_difference_gen': -0.14789220680747375, 'equal_opportunity_difference_gen': -0.0902915934707974, 'statistical_parity_difference_gen': -0.31013673599758973, 'gap_rms_race': 0.06689199627306895, 'mean_gap_race': 0.05532892103815658, 'max_gap_race': 0.09292213401802443, 'average_odds_difference_race': -0.05532892103815658, 'equal_opportunity_difference_race': -0.017735708058288724, 'statistical_parity_difference_race': -0.14353574165833471}
